LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,19-Dec-2017 08:22:05,0                 
Time,Ampl
-0.002230015,0.05
-0.002229965,0.0666667
-0.002229915,0.05
-0.002229865,0.05
-0.002229815,0.05
-0.002229765,0.05
-0.002229715,0.05
-0.002229665,0.05
-0.002229615,0.0666667
-0.002229565,0.05
-0.002229515,0.05
-0.002229465,0.05
-0.002229415,0.05
-0.002229365,0.05
-0.002229315,0.05
-0.002229265,0.05
-0.002229215,0.05
-0.002229165,0.05
-0.002229115,0.05
-0.002229065,0.0666667
-0.002229015,0.05
-0.002228965,0.0666667
-0.002228915,0.05
-0.002228865,0.05
-0.002228815,0.05
-0.002228765,0.05
-0.002228715,0.05
-0.002228665,0.05
-0.002228615,0.0666667
-0.002228565,0.0666667
-0.002228515,0.0666667
-0.002228465,0.0666667
-0.002228415,0.05
-0.002228365,0.0666667
-0.002228315,0.05
-0.002228265,0.0666667
-0.002228215,0.05
-0.002228165,0.05
-0.002228115,0.05
-0.002228065,0.0666667
-0.002228015,0.05
-0.002227965,0.05
-0.002227915,0.0666667
-0.002227865,0.05
-0.002227815,0.05
-0.002227765,0.05
-0.002227715,0.05
-0.002227665,0.05
-0.002227615,0.05
-0.002227565,0.05
-0.002227515,0.05
-0.002227465,0.05
-0.002227415,0.05
-0.002227365,0.05
-0.002227315,0.0666667
-0.002227265,0.05
-0.002227215,0.05
-0.002227165,0.05
-0.002227115,0.05
-0.002227065,0.05
-0.002227015,0.05
-0.002226965,0.05
-0.002226915,0.05
-0.002226865,0.0666667
-0.002226815,0.0666667
-0.002226765,0.05
-0.002226715,0.05
-0.002226665,0.05
-0.002226615,0.05
-0.002226565,0.05
-0.002226515,0.0666667
-0.002226465,0.0666667
-0.002226415,0.05
-0.002226365,0.0666667
-0.002226315,0.05
-0.002226265,0.05
-0.002226215,0.05
-0.002226165,0.05
-0.002226115,0.05
-0.002226065,0.0666667
-0.002226015,0.05
-0.002225965,0.05
-0.002225915,0.05
-0.002225865,0.05
-0.002225815,0.05
-0.002225765,0.05
-0.002225715,0.05
-0.002225665,0.05
-0.002225615,0.05
-0.002225565,0.05
-0.002225515,0.0666667
-0.002225465,0.05
-0.002225415,0.0666667
-0.002225365,0.0666667
-0.002225315,0.05
-0.002225265,0.0666667
-0.002225215,0.0666667
-0.002225165,0.0666667
-0.002225115,0.0666667
-0.002225065,0.05
-0.002225015,0.0666667
-0.002224965,0.0666667
-0.002224915,0.05
-0.002224865,0.0666667
-0.002224815,0.0666667
-0.002224765,0.0666667
-0.002224715,0.05
-0.002224665,0.05
-0.002224615,0.0666667
-0.002224565,0.0666667
-0.002224515,0.0666667
-0.002224465,0.05
-0.002224415,0.05
-0.002224365,0.05
-0.002224315,0.0666667
-0.002224265,0.05
-0.002224215,0.05
-0.002224165,0.05
-0.002224115,0.05
-0.002224065,0.05
-0.002224015,0.0666667
-0.002223965,0.0666667
-0.002223915,0.0666667
-0.002223865,0.05
-0.002223815,0.05
-0.002223765,0.0666667
-0.002223715,0.0666667
-0.002223665,0.05
-0.002223615,0.0666667
-0.002223565,0.05
-0.002223515,0.05
-0.002223465,0.05
-0.002223415,0.05
-0.002223365,0.0666667
-0.002223315,0.0666667
-0.002223265,0.0666667
-0.002223215,0.05
-0.002223165,0.05
-0.002223115,0.05
-0.002223065,0.0666667
-0.002223015,0.0666667
-0.002222965,0.05
-0.002222915,0.05
-0.002222865,0.0666667
-0.002222815,0.0666667
-0.002222765,0.05
-0.002222715,0.0666667
-0.002222665,0.05
-0.002222615,0.05
-0.002222565,0.05
-0.002222515,0.05
-0.002222465,0.05
-0.002222415,0.05
-0.002222365,0.05
-0.002222315,0.05
-0.002222265,0.0666667
-0.002222215,0.05
-0.002222165,0.05
-0.002222115,0.05
-0.002222065,0.05
-0.002222015,0.05
-0.002221965,0.05
-0.002221915,0.05
-0.002221865,0.05
-0.002221815,0.05
-0.002221765,0.0666667
-0.002221715,0.0666667
-0.002221665,0.05
-0.002221615,0.0666667
-0.002221565,0.05
-0.002221515,0.05
-0.002221465,0.05
-0.002221415,0.0666667
-0.002221365,0.0666667
-0.002221315,0.0666667
-0.002221265,0.05
-0.002221215,0.0666667
-0.002221165,0.05
-0.002221115,0.05
-0.002221065,0.0666667
-0.002221015,0.0666667
-0.002220965,0.05
-0.002220915,0.05
-0.002220865,0.05
-0.002220815,0.0666667
-0.002220765,0.05
-0.002220715,0.05
-0.002220665,0.05
-0.002220615,0.05
