LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-Dec-2017 17:17:23,0                 
Time,Ampl
-6.4012025e-005,24
-6.3992025e-005,24
-6.3972025e-005,24.3333
-6.3952025e-005,24
-6.3932025e-005,24
-6.3912025e-005,24
-6.3892025e-005,24
-6.3872025e-005,24.3333
-6.3852025e-005,24
-6.3832025e-005,24
-6.3812025e-005,24.3333
-6.3792025e-005,24.3333
-6.3772025e-005,24
-6.3752025e-005,24
-6.3732025e-005,24
-6.3712025e-005,24
-6.3692025e-005,24
-6.3672025e-005,24
-6.3652025e-005,24
-6.3632025e-005,24
-6.3612025e-005,24
-6.3592025e-005,24
-6.3572025e-005,24.3333
-6.3552025e-005,24
-6.3532025e-005,24
-6.3512025e-005,24
-6.3492025e-005,24.3333
-6.3472025e-005,24
-6.3452025e-005,24
-6.3432025e-005,24.3333
-6.3412025e-005,24
-6.3392025e-005,24
-6.3372025e-005,24
-6.3352025e-005,24.3333
-6.3332025e-005,24.3333
-6.3312025e-005,24
-6.3292025e-005,24
-6.3272025e-005,24.3333
-6.3252025e-005,24
-6.3232025e-005,24
-6.3212025e-005,24
-6.3192025e-005,24
-6.3172025e-005,24
-6.3152025e-005,24
-6.3132025e-005,24
-6.3112025e-005,24.3333
-6.3092025e-005,24.3333
-6.3072025e-005,24
-6.3052025e-005,24
-6.3032025e-005,24
-6.3012025e-005,24
-6.2992025e-005,24
-6.2972025e-005,24
-6.2952025e-005,24
-6.2932025e-005,24
-6.2912025e-005,24
-6.2892025e-005,24
-6.2872025e-005,24
-6.2852025e-005,24
-6.2832025e-005,24
-6.2812025e-005,24
-6.2792025e-005,24
-6.2772025e-005,24
-6.2752025e-005,24
-6.2732025e-005,24
-6.2712025e-005,24.3333
-6.2692025e-005,24.3333
-6.2672025e-005,24
-6.2652025e-005,24
-6.2632025e-005,24
-6.2612025e-005,24
-6.2592025e-005,24
-6.2572025e-005,24
-6.2552025e-005,24.3333
-6.2532025e-005,24
-6.2512025e-005,24
-6.2492025e-005,24.3333
-6.2472025e-005,24
-6.2452025e-005,24
-6.2432025e-005,24
-6.2412025e-005,24
-6.2392025e-005,24
-6.2372025e-005,24
-6.2352025e-005,24
-6.2332025e-005,24
-6.2312025e-005,24
-6.2292025e-005,24
-6.2272025e-005,24.3333
-6.2252025e-005,24
-6.2232025e-005,24.3333
-6.2212025e-005,24
-6.2192025e-005,24
-6.2172025e-005,24
-6.2152025e-005,24
-6.2132025e-005,24
-6.2112025e-005,24
-6.2092025e-005,24
-6.2072025e-005,24
-6.2052025e-005,24
-6.2032025e-005,24
-6.2012025e-005,24
-6.1992025e-005,24.3333
-6.1972025e-005,24.3333
-6.1952025e-005,24.3333
-6.1932025e-005,24.3333
-6.1912025e-005,24.3333
-6.1892025e-005,24
-6.1872025e-005,24
-6.1852025e-005,24
-6.1832025e-005,24
-6.1812025e-005,24.3333
-6.1792025e-005,24
-6.1772025e-005,24
-6.1752025e-005,24
-6.1732025e-005,24.3333
-6.1712025e-005,24
-6.1692025e-005,24
-6.1672025e-005,24
-6.1652025e-005,24.3333
-6.1632025e-005,24
-6.1612025e-005,24
-6.1592025e-005,24.3333
-6.1572025e-005,24
-6.1552025e-005,24
-6.1532025e-005,24
-6.1512025e-005,24
-6.1492025e-005,24.3333
-6.1472025e-005,24
-6.1452025e-005,24.3333
-6.1432025e-005,24
-6.1412025e-005,24
-6.1392025e-005,24.3333
-6.1372025e-005,24.3333
-6.1352025e-005,24
-6.1332025e-005,24
-6.1312025e-005,24
-6.1292025e-005,24.3333
-6.1272025e-005,24
-6.1252025e-005,24
-6.1232025e-005,24.3333
-6.1212025e-005,24
-6.1192025e-005,24
-6.1172025e-005,24
-6.1152025e-005,24
-6.1132025e-005,24
-6.1112025e-005,24.3333
-6.1092025e-005,24
-6.1072025e-005,24.3333
-6.1052025e-005,24
-6.1032025e-005,24
-6.1012025e-005,24
-6.0992025e-005,24
-6.0972025e-005,24
-6.0952025e-005,24
-6.0932025e-005,24
-6.0912025e-005,24
-6.0892025e-005,24.3333
-6.0872025e-005,24
-6.0852025e-005,24
-6.0832025e-005,24.3333
-6.0812025e-005,24.3333
-6.0792025e-005,24
-6.0772025e-005,24.3333
-6.0752025e-005,24
-6.0732025e-005,24
-6.0712025e-005,24
-6.0692025e-005,24
-6.0672025e-005,24
-6.0652025e-005,24
-6.0632025e-005,24
-6.0612025e-005,24
-6.0592025e-005,24
-6.0572025e-005,24.3333
-6.0552025e-005,24
-6.0532025e-005,24.3333
-6.0512025e-005,24.3333
-6.0492025e-005,24.3333
-6.0472025e-005,24
-6.0452025e-005,24
-6.0432025e-005,24
-6.0412025e-005,24.3333
-6.0392025e-005,24
-6.0372025e-005,24
-6.0352025e-005,24
-6.0332025e-005,24
-6.0312025e-005,24.3333
-6.0292025e-005,24.3333
-6.0272025e-005,24.3333
-6.0252025e-005,24
-6.0232025e-005,24.3333
-6.0212025e-005,24.3333
-6.0192025e-005,24.3333
-6.0172025e-005,24
-6.0152025e-005,24.3333
-6.0132025e-005,24
-6.0112025e-005,24
-6.0092025e-005,24
-6.0072025e-005,24
-6.0052025e-005,24
-6.0032025e-005,24
-6.0012025e-005,24.3333
-5.9992025e-005,24.3333
-5.9972025e-005,24
-5.9952025e-005,24
-5.9932025e-005,24.3333
-5.9912025e-005,24
-5.9892025e-005,24.3333
-5.9872025e-005,24.3333
-5.9852025e-005,24
-5.9832025e-005,24
-5.9812025e-005,24
-5.9792025e-005,24
-5.9772025e-005,24
-5.9752025e-005,24
-5.9732025e-005,24
-5.9712025e-005,24.3333
-5.9692025e-005,24.3333
-5.9672025e-005,24.3333
-5.9652025e-005,24.3333
-5.9632025e-005,24.3333
-5.9612025e-005,24
-5.9592025e-005,24.3333
-5.9572025e-005,24.3333
-5.9552025e-005,24.3333
-5.9532025e-005,24.3333
-5.9512025e-005,24.3333
-5.9492025e-005,24.3333
-5.9472025e-005,24.3333
-5.9452025e-005,24.3333
-5.9432025e-005,24.3333
-5.9412025e-005,24.3333
-5.9392025e-005,24
-5.9372025e-005,24
-5.9352025e-005,24
-5.9332025e-005,24
-5.9312025e-005,24.3333
-5.9292025e-005,24.3333
-5.9272025e-005,24
-5.9252025e-005,24.3333
-5.9232025e-005,24
-5.9212025e-005,24
-5.9192025e-005,24
-5.9172025e-005,24.3333
-5.9152025e-005,24.3333
-5.9132025e-005,24.3333
-5.9112025e-005,24
-5.9092025e-005,24.3333
-5.9072025e-005,24
-5.9052025e-005,24
-5.9032025e-005,24
-5.9012025e-005,24
-5.8992025e-005,24.3333
-5.8972025e-005,24
-5.8952025e-005,24.3333
-5.8932025e-005,24
-5.8912025e-005,24
-5.8892025e-005,24
-5.8872025e-005,24
-5.8852025e-005,24
-5.8832025e-005,24
-5.8812025e-005,24
-5.8792025e-005,24.3333
-5.8772025e-005,24.3333
-5.8752025e-005,24
-5.8732025e-005,24
-5.8712025e-005,24.3333
-5.8692025e-005,24
-5.8672025e-005,24.3333
-5.8652025e-005,24
-5.8632025e-005,24.3333
-5.8612025e-005,24.3333
-5.8592025e-005,24
-5.8572025e-005,24
-5.8552025e-005,24.3333
-5.8532025e-005,24.3333
-5.8512025e-005,24
-5.8492025e-005,24.3333
-5.8472025e-005,24.3333
-5.8452025e-005,24
-5.8432025e-005,24
-5.8412025e-005,24.3333
-5.8392025e-005,24.3333
-5.8372025e-005,24
-5.8352025e-005,24.3333
-5.8332025e-005,24.3333
-5.8312025e-005,24.3333
-5.8292025e-005,24
-5.8272025e-005,24.3333
-5.8252025e-005,24.3333
-5.8232025e-005,24.3333
-5.8212025e-005,24
-5.8192025e-005,24
-5.8172025e-005,24
-5.8152025e-005,24.3333
-5.8132025e-005,24.3333
-5.8112025e-005,24
-5.8092025e-005,24.3333
-5.8072025e-005,24
-5.8052025e-005,24.3333
-5.8032025e-005,24.3333
-5.8012025e-005,24.3333
-5.7992025e-005,24.3333
-5.7972025e-005,24
-5.7952025e-005,24
-5.7932025e-005,24
-5.7912025e-005,24
-5.7892025e-005,24.3333
-5.7872025e-005,24.3333
-5.7852025e-005,24.3333
-5.7832025e-005,24.3333
-5.7812025e-005,24
-5.7792025e-005,24
-5.7772025e-005,24
-5.7752025e-005,24
-5.7732025e-005,24
-5.7712025e-005,24
-5.7692025e-005,24.3333
-5.7672025e-005,24
-5.7652025e-005,24.3333
-5.7632025e-005,24.3333
-5.7612025e-005,24
-5.7592025e-005,24
-5.7572025e-005,24
-5.7552025e-005,24.3333
-5.7532025e-005,24
-5.7512025e-005,24
-5.7492025e-005,24
-5.7472025e-005,24
-5.7452025e-005,24
-5.7432025e-005,24.3333
-5.7412025e-005,24.3333
-5.7392025e-005,24
-5.7372025e-005,24.3333
-5.7352025e-005,24.3333
-5.7332025e-005,24
-5.7312025e-005,24
-5.7292025e-005,24.3333
-5.7272025e-005,24.3333
-5.7252025e-005,24
-5.7232025e-005,24
-5.7212025e-005,24
-5.7192025e-005,24.3333
-5.7172025e-005,24
-5.7152025e-005,24
-5.7132025e-005,24
-5.7112025e-005,24
-5.7092025e-005,24
-5.7072025e-005,24
-5.7052025e-005,24
-5.7032025e-005,24
-5.7012025e-005,24
-5.6992025e-005,24
-5.6972025e-005,24
-5.6952025e-005,24
-5.6932025e-005,24
-5.6912025e-005,24.3333
-5.6892025e-005,24
-5.6872025e-005,24.3333
-5.6852025e-005,24
-5.6832025e-005,24.3333
-5.6812025e-005,24.3333
-5.6792025e-005,24
-5.6772025e-005,24
-5.6752025e-005,24
-5.6732025e-005,24
-5.6712025e-005,24
-5.6692025e-005,24
-5.6672025e-005,24.3333
-5.6652025e-005,24
-5.6632025e-005,24
-5.6612025e-005,24
-5.6592025e-005,24
-5.6572025e-005,24
-5.6552025e-005,24
-5.6532025e-005,24
-5.6512025e-005,24.3333
