LECROYWS3054,15236,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,19-Dec-2017 08:19:31,0                 
Time,Ampl
-0.0044600402,0
-0.0044599402,0
-0.0044598402,0
-0.0044597402,0
-0.0044596402,-0.166667
-0.0044595402,0
-0.0044594402,0
-0.0044593402,0
-0.0044592402,0
-0.0044591402,0
-0.0044590402,0
-0.0044589402,0
-0.0044588402,0
-0.0044587402,0
-0.0044586402,0
-0.0044585402,0
-0.0044584402,0
-0.0044583402,0
-0.0044582402,0
-0.0044581402,0
-0.0044580402,0
-0.0044579402,0
-0.0044578402,0
-0.0044577402,-0.166667
-0.0044576402,0
-0.0044575402,0
-0.0044574402,0
-0.0044573402,0
-0.0044572402,0
-0.0044571402,0
-0.0044570402,0
-0.0044569402,0
-0.0044568402,0
-0.0044567402,0
-0.0044566402,0
-0.0044565402,0
-0.0044564402,0
-0.0044563402,0
-0.0044562402,0
-0.0044561402,0
-0.0044560402,-0.166667
-0.0044559402,0
-0.0044558402,0
-0.0044557402,0
-0.0044556402,0
-0.0044555402,0
-0.0044554402,-0.166667
-0.0044553402,0
-0.0044552402,0
-0.0044551402,0
-0.0044550402,0
-0.0044549402,0
-0.0044548402,0
-0.0044547402,0
-0.0044546402,-0.166667
-0.0044545402,0
-0.0044544402,0
-0.0044543402,0
-0.0044542402,0
-0.0044541402,-0.166667
-0.0044540402,0
-0.0044539402,-0.166667
-0.0044538402,0
-0.0044537402,-0.166667
-0.0044536402,0
-0.0044535402,0
-0.0044534402,0
-0.0044533402,-0.166667
-0.0044532402,0
-0.0044531402,0
-0.0044530402,0
-0.0044529402,0
-0.0044528402,0
-0.0044527402,0
-0.0044526402,0
-0.0044525402,0
-0.0044524402,0
-0.0044523402,0
-0.0044522402,0
-0.0044521402,0
-0.0044520402,0
-0.0044519402,0
-0.0044518402,0
-0.0044517402,-0.166667
-0.0044516402,0
-0.0044515402,-0.166667
-0.0044514402,0
-0.0044513402,0
-0.0044512402,0
-0.0044511402,0
-0.0044510402,0
-0.0044509402,-0.166667
-0.0044508402,0
-0.0044507402,0
-0.0044506402,0
-0.0044505402,0
-0.0044504402,0
-0.0044503402,0
-0.0044502402,0
-0.0044501402,0
-0.0044500402,0
-0.0044499402,0
-0.0044498402,-0.166667
-0.0044497402,0
-0.0044496402,0
-0.0044495402,0
-0.0044494402,0
-0.0044493402,0
-0.0044492402,-0.166667
-0.0044491402,0
-0.0044490402,0
-0.0044489402,0
-0.0044488402,0
-0.0044487402,-0.166667
-0.0044486402,0
-0.0044485402,0
-0.0044484402,0
-0.0044483402,0
-0.0044482402,0
-0.0044481402,0
-0.0044480402,0
-0.0044479402,-0.166667
-0.0044478402,0
-0.0044477402,0
-0.0044476402,0
-0.0044475402,0
-0.0044474402,0
-0.0044473402,-0.166667
-0.0044472402,-0.166667
-0.0044471402,-0.166667
-0.0044470402,0
